OBJECTID,pointid,percentage,Lon,Lat,RastX,RastY
19217,92995,20.60000038,-83.28489327,46.91567555,-1116293.854,440181.5889
19218,92996,14.72999954,-83.15698655,46.89925423,-1107143.281,436410.5492
19219,92998,19.21666718,-82.90146452,46.86588674,-1088845.824,428862.8163
19220,92999,1.666666627,-82.77385104,46.84894104,-1079698.946,425086.1304
19221,93000,7.013333797,-82.64633715,46.83182104,-1070553.307,421307.5695
19222,93001,8.809999466,-82.51892374,46.81452697,-1061408.911,417527.1372
19223,93002,13.12333393,-82.39161172,46.79705909,-1052265.761,413744.8372
19224,93003,9.883333206,-82.26440199,46.77941764,-1043123.86,409960.6729
19225,93004,8.613332748,-82.13729544,46.76160287,-1033983.213,406174.6482
19226,93005,13.53000069,-82.01029296,46.74361504,-1024843.823,402386.7665
19227,93006,17.69666672,-81.88339543,46.72545441,-1015705.693,398597.0315
19228,93007,11.67666626,-81.75660373,46.70712122,-1006568.827,394805.4469
19229,93008,1.666666627,-81.62991874,46.68861575,-997433.2284,391012.0163
19230,93009,10.5466671,-81.50334132,46.66993825,-988298.9008,387216.7435
19231,93010,0.783333361,-81.37687235,46.65108899,-979165.8475,383419.632
19232,93011,4.443333149,-81.25051267,46.63206823,-970034.0721,379620.6856
19233,93012,12.47000027,-81.12426314,46.61287625,-960903.5779,375819.908
19234,93016,5.333333492,-80.62038347,46.53440146,-924394.4816,360598.5603
19235,93017,12.32333279,-80.49469735,46.51435743,-915270.4444,356788.6827
19236,93018,11.66666698,-80.3691264,46.49414382,-906147.7087,352976.9965
19237,93019,3.930000067,-80.24367145,46.47376092,-897026.2777,349163.5052
19238,93020,4.70666647,-80.11833331,46.453209,-887906.1548,345348.2129
19239,93021,10.00333309,-79.99311278,46.43248836,-878787.343,341531.1232
19240,93022,7.183333397,-79.86801067,46.41159928,-869669.8458,337712.2399
19241,93023,1.363333344,-79.74302778,46.39054206,-860553.6664,333891.567
19242,93024,2.716666698,-79.6181649,46.36931698,-851438.8078,330069.1081
19243,93025,2.956666708,-79.49342283,46.34792433,-842325.2734,326244.8673
19244,93026,4.886666775,-79.36880233,46.32636442,-833213.0662,322418.8482
19245,93027,6.606666565,-79.2443042,46.30463754,-824102.1895,318591.0548
19246,93028,15.18000031,-79.11992921,46.28274399,-814992.6463,314761.491
19247,93029,8.289999962,-78.99567811,46.26068407,-805884.4397,310930.1605
19248,93030,9.836667061,-78.87155168,46.23845808,-796777.5729,307097.0674
19249,93031,7.246666431,-78.74755066,46.21606632,-787672.0489,303262.2155
19250,93032,21.62999916,-78.62367582,46.19350911,-778567.8708,299425.6086
19251,93033,3.026666641,-78.49992789,46.17078675,-769465.0415,295587.2508
19252,93034,7.666666985,-78.37630761,46.14789955,-760363.5641,291747.1459
19253,93035,18.2966671,-78.25281573,46.12484782,-751263.4416,287905.2978
