FID,ANNEE,SUPER_HA,Ia,NIVEAU,Longitude,Latitude,X,Y,RastX,RastY
29823,2012,2.130627683,1,Léger,-71.86572461,49.09152439,1652080.436,313973.303,-244507.4542,571294.4791
29824,2012,8.757584688,2,Modéré,-68.45126432,49.09105853,1882597.42,408821.2357,3541.806448,565493.0443
29825,2012,20.61682721,1,Léger,-72.21787743,49.08820123,1628155.408,304547.1823,-270087.2184,572193.3732
29826,2012,0.312705241,1,Léger,-71.86647335,49.09169023,1652004.629,313971.0869,-244573.4735,571348.6172
29827,2012,33.25060759,3,Grave,-71.89775712,49.08719956,1650065.32,312692.401,-246855.4513,570926.3965
29828,2012,0.026147952,3,Grave,-71.71613631,49.09291622,1662227.717,318015.1299,-233640.9861,570948.5739
29829,2012,0.298311065,3,Grave,-72.00018219,49.09218425,1642876.008,310559.2698,-254264.0897,571835.9961
29830,2012,83.08160213,3,Grave,-71.93122668,49.08359121,1647624.991,311449.5869,-249185.0325,571177.8319
29831,2012,0.653592642,2,Modéré,-71.51270378,49.09226094,1676113.894,323285.6899,-218874.4081,570232.9208
29832,2012,50.00871022,3,Grave,-72.75930676,49.07901058,1591140.342,289885.5662,-309169.9098,573880.616
29833,2012,36.16166841,1,Léger,-71.77392902,49.08684998,1658528.027,315876.6515,-237867.2143,570468.3674
29834,2012,6.16741672,2,Modéré,-71.72794339,49.09156444,1661476.542,317566.3139,-234504.8929,570837.7618
29835,2012,58.22284146,1,Léger,-72.16367355,49.08825363,1631859.436,305941.6984,-266152.7177,571996.0752
29836,2012,0.407886337,2,Modéré,-71.71787178,49.09271505,1662117.41,317948.8958,-233767.9772,570932.0038
29837,2012,29.49021026,1,Léger,-69.29283777,49.0903595,1826294.51,384213.4296,-57618.23303,565733.6737
29838,2012,14.15491802,1,Léger,-71.77641796,49.08668842,1658364.692,315794.9699,-238048.7333,570458.7749
29839,2012,171.017308,3,Grave,-72.69763523,49.08215176,1595532.888,291758.7939,-304940.9504,573452.5033
29840,2012,2.008937213,2,Modéré,-71.72292502,49.09305699,1661758.66,317852.358,-234131.8299,570946.6187
29841,2012,26.84902416,1,Léger,-72.22165697,49.0892338,1627856.71,304557.9501,-270355.5991,572321.7482
29842,2012,69.36437312,1,Léger,-71.85425142,49.08973556,1652934.063,314085.5257,-243683.8611,571057.6181
29843,2012,112.3142512,1,Léger,-72.24648857,49.08232618,1626427.412,303203.4042,-272197.8259,571652.5224
29844,2012,30.4193479,1,Léger,-71.80545914,49.08860507,1656307.702,315237.3377,-240147.4436,570767.6922
29845,2012,6.628775417,1,Léger,-71.85078603,49.09232815,1653361.699,314444.9441,-243215.3121,571323.1031
29846,2012,0.27532888,3,Grave,-71.71676235,49.09425402,1662131.805,318137.6419,-233679.7825,571098.5049
29847,2012,91.46035929,2,Modéré,-71.73299433,49.08630434,1661341.34,316888.2934,-234897.8769,570272.8545
29848,2012,2.718123486,3,Grave,-71.9624182,49.09342503,1645405.717,311664.4275,-251516.3091,571839.6777
29849,2012,0.175049736,3,Grave,-71.71973954,49.09441709,1661922.36,318076.7749,-233895.1012,571126.257
29850,2012,0.368457232,3,Grave,-71.90275294,49.09384919,1649461.704,313253.8776,-247183.1809,571678.6564
